TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
739,0.6446171998977661, 0.9433448910713196, 0,0.5672558546066284, 0.9337623715400696, 0,0.5104254484176636, 0.9200531244277954, 0,0.4711928367614746, 0.9172137975692749, 0,0.43593788146972656, 0.9075905680656433, 0,0.5132433772087097, 0.8279352188110352, 0,0.4716745615005493, 0.7786282300949097, 0,0.4372643530368805, 0.7777209281921387, 0,0.40661877393722534, 0.7933786511421204, 0,0.5439795255661011, 0.8139190673828125, 0,0.5032156109809875, 0.7613368034362793, 0,0.46532273292541504, 0.766838788986206, 0,0.4302244186401367, 0.7856162786483765, 0,0.5810675024986267, 0.8116923570632935, 0,0.5465213656425476, 0.7580240964889526, 0,0.5102506279945374, 0.7544512152671814, 0,0.4744216203689575, 0.7613581418991089, 0,0.625802218914032, 0.8186148405075073, 0,0.6050447225570679, 0.7683389186859131, 0,0.5751428604125977, 0.7529525756835938, 0,0.542629063129425, 0.7473903298377991, 0
784,0.6484107971191406, 0.9295885562896729, 0,0.5637483596801758, 0.9476044178009033, 0,0.4902307391166687, 0.9120547771453857, 0,0.44448551535606384, 0.8710751533508301, 0,0.4241548180580139, 0.8235917687416077, 0,0.5350627899169922, 0.7876500487327576, 0,0.5092501044273376, 0.7288621068000793, 0,0.48450589179992676, 0.6873652935028076, 0,0.4574359953403473, 0.6566733121871948, 0,0.5671891570091248, 0.7576479315757751, 0,0.5409502387046814, 0.6931502819061279, 0,0.5147705078125, 0.6468071937561035, 0,0.48971793055534363, 0.6130952835083008, 0,0.5990716218948364, 0.7368043661117554, 0,0.5730056762695312, 0.6772626042366028, 0,0.5466598272323608, 0.63329017162323, 0,0.521420955657959, 0.6027838587760925, 0,0.6309645771980286, 0.7271660566329956, 0,0.6095355153083801, 0.6752668619155884, 0,0.5867693424224854, 0.6337131261825562, 0,0.5600134134292603, 0.6012698411941528, 0
829,0.6714352369308472, 0.8991349339485168, 0,0.5656670331954956, 0.8963660597801208, 0,0.49608901143074036, 0.8533546328544617, 0,0.4456663727760315, 0.8075101971626282, 0,0.40910160541534424, 0.7565195560455322, 0,0.5400760769844055, 0.7494866847991943, 0,0.5086045861244202, 0.6961619853973389, 0,0.4804820120334625, 0.6555554866790771, 0,0.4529378414154053, 0.6236938834190369, 0,0.5714304447174072, 0.7121156454086304, 0,0.5389460325241089, 0.6491390466690063, 0,0.505854070186615, 0.6084117889404297, 0,0.4736284017562866, 0.5785378217697144, 0,0.6021979451179504, 0.6864844560623169, 0,0.5734282732009888, 0.6204069256782532, 0,0.5388476848602295, 0.5832056999206543, 0,0.5076000690460205, 0.5517550706863403, 0,0.6328669786453247, 0.6757227778434753, 0,0.6088266372680664, 0.6080591678619385, 0,0.5792146921157837, 0.5715802907943726, 0,0.5460475087165833, 0.5397411584854126, 0
873,0.6813074350357056, 0.8576339483261108, 0,0.569656252861023, 0.8523982763290405, 0,0.4971758723258972, 0.8085493445396423, 0,0.44486337900161743, 0.7625398635864258, 0,0.40965333580970764, 0.7122750282287598, 0,0.5341001749038696, 0.6973750591278076, 0,0.5010283589363098, 0.6460258960723877, 0,0.47071573138237, 0.6074175238609314, 0,0.440970778465271, 0.578111469745636, 0,0.5659726858139038, 0.6615699529647827, 0,0.5378113985061646, 0.5950596332550049, 0,0.5096220970153809, 0.5532748699188232, 0,0.4806854724884033, 0.5236847400665283, 0,0.5991281867027283, 0.6375620365142822, 0,0.5708994269371033, 0.566798210144043, 0,0.5366959571838379, 0.5304770469665527, 0,0.5050144791603088, 0.5011510848999023, 0,0.6338021159172058, 0.6263737678527832, 0,0.6080183386802673, 0.5577442646026611, 0,0.5750001668930054, 0.5236016511917114, 0,0.538374662399292, 0.49580708146095276, 0
918,0.6727387309074402, 0.8279821872711182, 0,0.5732660889625549, 0.8230494856834412, 0,0.49920088052749634, 0.7820912599563599, 0,0.4453682005405426, 0.7353194952011108, 0,0.41005516052246094, 0.6833945512771606, 0,0.5314100384712219, 0.6578761339187622, 0,0.48871731758117676, 0.6112426519393921, 0,0.45132455229759216, 0.575276255607605, 0,0.4145843982696533, 0.5501308441162109, 0,0.5613378882408142, 0.6214836835861206, 0,0.5150631070137024, 0.5620574951171875, 0,0.470002681016922, 0.5197001695632935, 0,0.42452219128608704, 0.4910780191421509, 0,0.5925052762031555, 0.5960135459899902, 0,0.5530167818069458, 0.5255843997001648, 0,0.5102568864822388, 0.4862056374549866, 0,0.4685353636741638, 0.45682215690612793, 0,0.6290258765220642, 0.5830681324005127, 0,0.5999948978424072, 0.5107472538948059, 0,0.564224898815155, 0.47308504581451416, 0,0.5232963562011719, 0.4432647228240967, 0
965,0.6772236227989197, 0.786697268486023, 0,0.5793017148971558, 0.7818804383277893, 0,0.5040027499198914, 0.7458917498588562, 0,0.4483729600906372, 0.7037551403045654, 0,0.4084908366203308, 0.6564608812332153, 0,0.5265777111053467, 0.6092305183410645, 0,0.4843056797981262, 0.554934024810791, 0,0.4482906758785248, 0.522916316986084, 0,0.41291022300720215, 0.5022099018096924, 0,0.5587127804756165, 0.5739021897315979, 0,0.5137431621551514, 0.5038555264472961, 0,0.4722317159175873, 0.4660114645957947, 0,0.43074023723602295, 0.44096991419792175, 0,0.5922111868858337, 0.5522037744522095, 0,0.5543054938316345, 0.4748194217681885, 0,0.5139579176902771, 0.4361642003059387, 0,0.47455114126205444, 0.40709051489830017, 0,0.6327557563781738, 0.5440844297409058, 0,0.6057919263839722, 0.4704035520553589, 0,0.5721322894096375, 0.43354088068008423, 0,0.534084141254425, 0.404995322227478, 0
1024,0.664624810218811, 0.7660870552062988, 0,0.5760809183120728, 0.7660988569259644, 0,0.5039332509040833, 0.7301217913627625, 0,0.4487088918685913, 0.6862465143203735, 0,0.40399086475372314, 0.6370160579681396, 0,0.5230004787445068, 0.5821933746337891, 0,0.4788716733455658, 0.5160702466964722, 0,0.4421887993812561, 0.4845978319644928, 0,0.4057590365409851, 0.46463754773139954, 0,0.5521279573440552, 0.5506590604782104, 0,0.502354621887207, 0.47352850437164307, 0,0.46082180738449097, 0.43346232175827026, 0,0.4175698757171631, 0.40443113446235657, 0,0.5863269567489624, 0.5338106155395508, 0,0.5431431531906128, 0.45058703422546387, 0,0.5043215155601501, 0.4086194634437561, 0,0.46262890100479126, 0.3783280849456787, 0,0.6299769282341003, 0.5300204157829285, 0,0.6007094979286194, 0.45536285638809204, 0,0.5703155398368835, 0.4162589907646179, 0,0.5330214500427246, 0.3857150077819824, 0
1068,0.6685042381286621, 0.7426816821098328, 0,0.5803861618041992, 0.7456774115562439, 0,0.5077605247497559, 0.7092919945716858, 0,0.45297327637672424, 0.6631022691726685, 0,0.406251460313797, 0.6164835095405579, 0,0.5219148993492126, 0.5586690306663513, 0,0.4776707887649536, 0.48555803298950195, 0,0.43906521797180176, 0.4551084339618683, 0,0.4021025002002716, 0.43711328506469727, 0,0.5523947477340698, 0.5273732542991638, 0,0.4998907446861267, 0.4478641152381897, 0,0.4564551115036011, 0.41216498613357544, 0,0.4120832085609436, 0.3893912136554718, 0,0.5882524251937866, 0.5102617740631104, 0,0.5438432097434998, 0.4257158637046814, 0,0.5054225921630859, 0.38485661149024963, 0,0.46326643228530884, 0.35625675320625305, 0,0.632911205291748, 0.5063183307647705, 0,0.6058785915374756, 0.4311780333518982, 0,0.5764003992080688, 0.3929940164089203, 0,0.5387087464332581, 0.3635668158531189, 0
1113,0.6672243475914001, 0.7331017255783081, 0,0.5795981287956238, 0.7369842529296875, 0,0.507860004901886, 0.694014310836792, 0,0.4590872526168823, 0.6415676474571228, 0,0.4162234663963318, 0.5853625535964966, 0,0.5191755294799805, 0.5507551431655884, 0,0.4719668924808502, 0.47508975863456726, 0,0.4341847002506256, 0.4404195547103882, 0,0.3984546959400177, 0.4163304567337036, 0,0.5527588725090027, 0.5179585218429565, 0,0.5026351809501648, 0.4361991882324219, 0,0.46039971709251404, 0.39903348684310913, 0,0.41890808939933777, 0.37361064553260803, 0,0.5892750024795532, 0.5016589760780334, 0,0.548854649066925, 0.41277211904525757, 0,0.511524498462677, 0.3696383833885193, 0,0.4706021249294281, 0.3377563953399658, 0,0.6330521106719971, 0.49875739216804504, 0,0.6064502000808716, 0.4246399402618408, 0,0.5784727334976196, 0.383744478225708, 0,0.5415315628051758, 0.3491957187652588, 0
1158,0.6682253479957581, 0.7225436568260193, 0,0.5805139541625977, 0.7279348969459534, 0,0.5081409215927124, 0.6852315664291382, 0,0.46242237091064453, 0.6300965547561646, 0,0.4263167381286621, 0.5691875219345093, 0,0.5161338448524475, 0.5419471263885498, 0,0.469232976436615, 0.46959394216537476, 0,0.43445026874542236, 0.4336761236190796, 0,0.4032413959503174, 0.40903955698013306, 0,0.5515389442443848, 0.5074746608734131, 0,0.5039882063865662, 0.4253302812576294, 0,0.46451061964035034, 0.38356339931488037, 0,0.4259578287601471, 0.3524554967880249, 0,0.5897617340087891, 0.4907505214214325, 0,0.5499454736709595, 0.4039973318576813, 0,0.5144769549369812, 0.3589370846748352, 0,0.47518956661224365, 0.32539302110671997, 0,0.6354867815971375, 0.4861574172973633, 0,0.608781635761261, 0.4129987955093384, 0,0.5817648768424988, 0.3714572787284851, 0,0.5462074875831604, 0.336963951587677, 0
