TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
33,0.2543245851993561, 0.7255890965461731, 0,0.3301926255226135, 0.7290009260177612, 0,0.40161043405532837, 0.6890191435813904, 0,0.4553486108779907, 0.6470621824264526, 0,0.5003470182418823, 0.6242227554321289, 0,0.3814985156059265, 0.5554434061050415, 0,0.4234805107116699, 0.4932054281234741, 0,0.4505643844604492, 0.460703581571579, 0,0.4784393906593323, 0.4318196773529053, 0,0.3476605713367462, 0.5207095146179199, 0,0.3855103552341461, 0.44932568073272705, 0,0.41709452867507935, 0.40840595960617065, 0,0.4480516314506531, 0.3738498091697693, 0,0.3092851936817169, 0.5055282115936279, 0,0.33495718240737915, 0.42940476536750793, 0,0.3604763150215149, 0.38748931884765625, 0,0.387352854013443, 0.3547278642654419, 0,0.26622384786605835, 0.506658673286438, 0,0.27394965291023254, 0.44108790159225464, 0,0.2888016998767853, 0.3975464999675751, 0,0.30830538272857666, 0.36041027307510376, 0
84,0.25254425406455994, 0.7244119048118591, 0,0.3294046223163605, 0.7284272909164429, 0,0.4009174406528473, 0.6890246868133545, 0,0.45525509119033813, 0.6471219062805176, 0,0.5002814531326294, 0.6254158616065979, 0,0.38077595829963684, 0.5563031435012817, 0,0.4232524037361145, 0.49433961510658264, 0,0.45059800148010254, 0.46200138330459595, 0,0.47846895456314087, 0.43278300762176514, 0,0.3467371165752411, 0.521166205406189, 0,0.38492947816848755, 0.4496828317642212, 0,0.4168650507926941, 0.40845346450805664, 0,0.447929322719574, 0.37337344884872437, 0,0.3085542917251587, 0.5053114891052246, 0,0.33410391211509705, 0.4293055534362793, 0,0.35963064432144165, 0.3874244689941406, 0,0.3864688575267792, 0.355121910572052, 0,0.26553091406822205, 0.5052803158760071, 0,0.2735694646835327, 0.4399259686470032, 0,0.2889367341995239, 0.39665478467941284, 0,0.30915212631225586, 0.36008280515670776, 0
112,0.25255051255226135, 0.72374427318573, 0,0.3289024829864502, 0.7282595634460449, 0,0.4007413387298584, 0.6885374784469604, 0,0.45532655715942383, 0.6471012830734253, 0,0.5003207325935364, 0.625394880771637, 0,0.3812655210494995, 0.5558818578720093, 0,0.42362654209136963, 0.4943259656429291, 0,0.45078039169311523, 0.4623640775680542, 0,0.47888559103012085, 0.43397068977355957, 0,0.3471132516860962, 0.5205762386322021, 0,0.38494256138801575, 0.44944071769714355, 0,0.4168676435947418, 0.4080154299736023, 0,0.4481675624847412, 0.3735165596008301, 0,0.30875152349472046, 0.5047271847724915, 0,0.3338656723499298, 0.42885440587997437, 0,0.3593961000442505, 0.38671302795410156, 0,0.38627251982688904, 0.35464274883270264, 0,0.26562708616256714, 0.504967212677002, 0,0.27356553077697754, 0.439628005027771, 0,0.2886231541633606, 0.39636537432670593, 0,0.308708518743515, 0.36022716760635376, 0
140,0.25153565406799316, 0.7239688634872437, 0,0.3279173970222473, 0.7287619709968567, 0,0.39896589517593384, 0.6895062327384949, 0,0.45333629846572876, 0.648713231086731, 0,0.49944478273391724, 0.6282262206077576, 0,0.3800758719444275, 0.5561774373054504, 0,0.4228697717189789, 0.4946722388267517, 0,0.4505372643470764, 0.4624596834182739, 0,0.47935396432876587, 0.43407705426216125, 0,0.3458942472934723, 0.5207327008247375, 0,0.3845120370388031, 0.45032697916030884, 0,0.4167896807193756, 0.4093824028968811, 0,0.44824615120887756, 0.3750535547733307, 0,0.30740562081336975, 0.5048666596412659, 0,0.33342698216438293, 0.4291422367095947, 0,0.35959503054618835, 0.3875753879547119, 0,0.3867676556110382, 0.3557159900665283, 0,0.26444846391677856, 0.505092203617096, 0,0.2729109525680542, 0.4399692416191101, 0,0.2886090874671936, 0.3964077830314636, 0,0.30892133712768555, 0.35977351665496826, 0
168,0.24807259440422058, 0.7227275967597961, 0,0.3247734606266022, 0.7297792434692383, 0,0.3963692784309387, 0.6925999522209167, 0,0.45088618993759155, 0.6533841490745544, 0,0.497501015663147, 0.6351540088653564, 0,0.37910401821136475, 0.5588241815567017, 0,0.42258739471435547, 0.49809375405311584, 0,0.45035457611083984, 0.46555039286613464, 0,0.4787561297416687, 0.43653908371925354, 0,0.3453691005706787, 0.5221256017684937, 0,0.38471972942352295, 0.45170438289642334, 0,0.4168211817741394, 0.41064247488975525, 0,0.4480173885822296, 0.3763863444328308, 0,0.3069384694099426, 0.5044759511947632, 0,0.3341519236564636, 0.42952960729599, 0,0.3603757917881012, 0.3877165913581848, 0,0.38748040795326233, 0.3551873564720154, 0,0.26338228583335876, 0.5026056170463562, 0,0.2732740044593811, 0.43781864643096924, 0,0.2897892892360687, 0.39555564522743225, 0,0.3106570839881897, 0.36042433977127075, 0
243,0.2386930286884308, 0.7174805402755737, 0,0.31701329350471497, 0.729448139667511, 0,0.39168936014175415, 0.6963980793952942, 0,0.4484119415283203, 0.6593259572982788, 0,0.49653953313827515, 0.6438252925872803, 0,0.3789341151714325, 0.5637054443359375, 0,0.42532259225845337, 0.504719078540802, 0,0.4536949694156647, 0.47195035219192505, 0,0.48231297731399536, 0.4434177577495575, 0,0.3457222580909729, 0.5244565606117249, 0,0.3874489665031433, 0.455344557762146, 0,0.41946306824684143, 0.4158328175544739, 0,0.44991379976272583, 0.3835662603378296, 0,0.30767688155174255, 0.5038522481918335, 0,0.3390217423439026, 0.43085527420043945, 0,0.3664776086807251, 0.38980361819267273, 0,0.39472782611846924, 0.35863709449768066, 0,0.2631952464580536, 0.4980528652667999, 0,0.2748200297355652, 0.4334297478199005, 0,0.29182830452919006, 0.39184123277664185, 0,0.3129366636276245, 0.3578011095523834, 0
271,0.23428785800933838, 0.7144946455955505, 0,0.31202661991119385, 0.7312673330307007, 0,0.3881326913833618, 0.6979912519454956, 0,0.4460529088973999, 0.6617828011512756, 0,0.4955207109451294, 0.6505295038223267, 0,0.37801629304885864, 0.5664238929748535, 0,0.4256748855113983, 0.5100811719894409, 0,0.45438113808631897, 0.4784933626651764, 0,0.4833412170410156, 0.45047950744628906, 0,0.34575483202934265, 0.5253720283508301, 0,0.3898777961730957, 0.4579809010028839, 0,0.4231839179992676, 0.41882452368736267, 0,0.4552505612373352, 0.38621002435684204, 0,0.3080456852912903, 0.5026881694793701, 0,0.3411301076412201, 0.4304811954498291, 0,0.3693234920501709, 0.39051592350006104, 0,0.39782360196113586, 0.3592950105667114, 0,0.26333752274513245, 0.4949401319026947, 0,0.2774134576320648, 0.4304007291793823, 0,0.29548507928848267, 0.3900264501571655, 0,0.3174782693386078, 0.3573814630508423, 0
306,0.22743681073188782, 0.710259735584259, 0,0.30528268218040466, 0.7302677631378174, 0,0.38266879320144653, 0.7014853954315186, 0,0.44158974289894104, 0.66901695728302, 0,0.4922932982444763, 0.6622627973556519, 0,0.37702950835227966, 0.5694195628166199, 0,0.4257655739784241, 0.5149092078208923, 0,0.45567893981933594, 0.4841822683811188, 0,0.4857761859893799, 0.45762547850608826, 0,0.34580469131469727, 0.52680903673172, 0,0.39172422885894775, 0.46179255843162537, 0,0.425927996635437, 0.4247708022594452, 0,0.4591064155101776, 0.3948414921760559, 0,0.30868080258369446, 0.5021461248397827, 0,0.3446948528289795, 0.432234525680542, 0,0.37404194474220276, 0.39320123195648193, 0,0.404104620218277, 0.3634182810783386, 0,0.26378414034843445, 0.49200281500816345, 0,0.2799351215362549, 0.42821183800697327, 0,0.2991504371166229, 0.38839465379714966, 0,0.32196182012557983, 0.3568814992904663, 0
335,0.22220346331596375, 0.7100574970245361, 0,0.30066734552383423, 0.7329406142234802, 0,0.3798501789569855, 0.7040317058563232, 0,0.43852418661117554, 0.6714062094688416, 0,0.487987220287323, 0.6670423150062561, 0,0.3763262629508972, 0.5726454854011536, 0,0.42699193954467773, 0.5219792723655701, 0,0.4568553566932678, 0.4915505647659302, 0,0.48590588569641113, 0.46463197469711304, 0,0.34560298919677734, 0.5279289484024048, 0,0.3931220769882202, 0.4653719365596771, 0,0.4283442497253418, 0.4287213087081909, 0,0.46158623695373535, 0.3990669846534729, 0,0.30871525406837463, 0.5017123222351074, 0,0.34595760703086853, 0.4333665370941162, 0,0.37594863772392273, 0.39537951350212097, 0,0.405800461769104, 0.3669508695602417, 0,0.26348742842674255, 0.49024686217308044, 0,0.2809188663959503, 0.42674440145492554, 0,0.3006269335746765, 0.3879339098930359, 0,0.32397687435150146, 0.35728251934051514, 0
370,0.21747595071792603, 0.706885814666748, 0,0.2955951392650604, 0.7279452085494995, 0,0.37519198656082153, 0.7019019722938538, 0,0.4365261197090149, 0.673603892326355, 0,0.48647069931030273, 0.6707753539085388, 0,0.3718406558036804, 0.5711004137992859, 0,0.42432475090026855, 0.5221197605133057, 0,0.45471298694610596, 0.4933934211730957, 0,0.48435544967651367, 0.4679732322692871, 0,0.3413855731487274, 0.5261168479919434, 0,0.39070019125938416, 0.464549720287323, 0,0.4262621998786926, 0.42884206771850586, 0,0.45988643169403076, 0.4009515345096588, 0,0.3047749996185303, 0.4998111426830292, 0,0.3434256315231323, 0.4318573474884033, 0,0.37435925006866455, 0.3948448896408081, 0,0.4047231376171112, 0.3686513304710388, 0,0.26018476486206055, 0.4881809949874878, 0,0.2776544988155365, 0.42444297671318054, 0,0.29785749316215515, 0.38474810123443604, 0,0.32188940048217773, 0.35362687706947327, 0
