TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
425
472
532
580
628
676
744,0.6798885464668274, 0.8251052498817444, 0,0.5847526788711548, 0.766083300113678, 0,0.5336058139801025, 0.7043757438659668, 0,0.4951119124889374, 0.6554226279258728, 0,0.4484076499938965, 0.6035895943641663, 0,0.5610736608505249, 0.653779149055481, 0,0.5445768237113953, 0.6166479587554932, 0,0.5350024104118347, 0.6235330104827881, 0,0.5244378447532654, 0.6329461932182312, 0,0.5905010104179382, 0.645189106464386, 0,0.5528897643089294, 0.6035254597663879, 0,0.5571252703666687, 0.6382523775100708, 0,0.5668823719024658, 0.6594172716140747, 0,0.6193282008171082, 0.6407007575035095, 0,0.5795993208885193, 0.6018182635307312, 0,0.5821410417556763, 0.6455287933349609, 0,0.5939168334007263, 0.6740752458572388, 0,0.6477478742599487, 0.63719642162323, 0,0.6168481707572937, 0.6081830263137817, 0,0.6086164712905884, 0.6354691982269287, 0,0.6172366738319397, 0.6630381345748901, 0
774
821
869
932
977
1025
1071
1108
1138
1171
1211
1258
1307
1381
1428
1480
1531
1582
1632
1682
1736
1790
1843
1917
1969
2024
2075
2128
2184
2233
2286
2337
2386
2457
2510
2561
2616
2668
2721
2770
2816
2864
2915
2980
3029
3076
3124
3174
3213
3243
3277
3318
3360
3416
3455
3497
3538
3580
3626
3669
3724
3766
3810
3863
3918
3969
4023
4078
4129
4182
4244
4285
4338
4390
4445
4498
4550
4603
4655
4711
